"PRODUCT","DRAW NUMBER","DRAW DATE","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4"
"DGRD",449,"2021-02-04",6,37,84,96
"DGRD",450,"2021-02-08",1,25,48,81
"DGRD",451,"2021-02-11",15,34,92,98
"DGRD",452,"2021-02-15",31,48,52,95
"DGRD",453,"2021-02-18",19,56,64,71
"DGRD",454,"2021-02-22",27,42,43,67
"DGRD",455,"2021-02-25",26,30,33,39
"DGRD",456,"2021-03-01",14,49,51,56
"DGRD",457,"2021-03-04",11,64,73,79
"DGRD",458,"2021-03-08",43,48,81,89
"DGRD",459,"2021-03-11",17,31,68,90
"DGRD",460,"2021-03-15",43,73,74,90
"DGRD",461,"2021-03-18",19,31,80,84
"DGRD",462,"2021-03-22",44,79,96,98
"DGRD",463,"2021-03-25",26,38,58,91
"DGRD",464,"2021-03-29",10,32,39,99
"DGRD",465,"2021-04-01",15,38,51,80
"DGRD",466,"2021-04-05",22,45,59,74
"DGRD",467,"2021-04-08",28,30,32,43
"DGRD",468,"2021-04-12",17,61,63,91
"DGRD",469,"2021-04-15",4,14,36,74
"DGRD",470,"2021-04-19",4,7,21,90
"DGRD",471,"2021-04-22",60,68,70,83
"DGRD",472,"2021-04-26",9,34,54,69
"DGRD",473,"2021-04-29",28,42,45,96
"DGRD",474,"2021-05-03",33,45,54,59
"DGRD",475,"2021-05-06",1,33,36,56
"DGRD",476,"2021-05-10",6,10,45,64
"DGRD",477,"2021-05-13",3,13,21,60
"DGRD",478,"2021-05-17",15,29,77,83
"DGRD",479,"2021-05-20",34,36,56,78
"DGRD",480,"2021-05-24",26,63,64,72
"DGRD",481,"2021-05-27",24,29,55,95
"DGRD",482,"2021-05-31",11,13,30,90
"DGRD",483,"2021-06-03",2,43,51,67
"DGRD",484,"2021-06-07",51,63,64,69
"DGRD",485,"2021-06-10",23,29,63,99
"DGRD",486,"2021-06-14",11,27,28,46
"DGRD",487,"2021-06-17",42,71,79,86
"DGRD",488,"2021-06-21",12,21,65,71
"DGRD",489,"2021-06-24",5,22,25,90
"DGRD",490,"2021-06-28",26,41,58,73
"DGRD",491,"2021-07-01",3,5,9,43
"DGRD",492,"2021-07-05",17,40,41,58
"DGRD",493,"2021-07-08",15,57,89,94
"DGRD",494,"2021-07-12",23,32,44,61
"DGRD",495,"2021-07-15",8,52,65,84
"DGRD",496,"2021-07-19",11,13,34,65
"DGRD",497,"2021-07-22",3,49,90,91
"DGRD",498,"2021-07-26",13,18,44,69
"DGRD",499,"2021-07-29",10,25,56,68
"DGRD",500,"2021-08-02",12,27,35,84
"DGRD",501,"2021-08-05",14,25,50,84
"DGRD",502,"2021-08-09",14,31,46,48
"DGRD",503,"2021-08-12",4,7,18,28
"DGRD",504,"2021-08-16",21,53,76,83
"DGRD",505,"2021-08-19",1,24,30,70
"DGRD",506,"2021-08-23",41,45,56,85
"DGRD",507,"2021-08-26",81,86,93,96
"DGRD",508,"2021-08-30",28,49,60,76
"DGRD",509,"2021-09-02",17,20,30,85
"DGRD",510,"2021-09-06",5,34,50,82
"DGRD",511,"2021-09-09",14,17,48,71
"DGRD",512,"2021-09-13",51,61,89,99
"DGRD",513,"2021-09-16",14,38,56,59
"DGRD",514,"2021-09-20",2,20,59,96
"DGRD",515,"2021-09-23",11,57,94,98
"DGRD",516,"2021-09-27",9,42,63,85
"DGRD",517,"2021-09-30",26,43,73,74
"DGRD",518,"2021-10-04",6,14,17,68
"DGRD",519,"2021-10-07",36,58,76,84
